														
Stagnation Pressure	Static Pressure	Stagnation Temperature	Manifold Pressure	Tank Pressure	Mach Number	Velocity	Static Temperature	Mass Flow	Static Density	Reynold's Number	BL Pstatic	Time	X	Y
psia	psia	degF	psig	psig	N/A	m/s	degF	kg/s	kg/m^3	N/A	psig	sec	in	in
28.940	3.586	111.098	37.582	286.718	2.020	534.093	-145.376	6.399	0.495	NaN	-9.729	165853.021	0.000	0.000
28.935	3.589	111.035	37.608	285.816	2.019	533.965	-145.316	6.402	0.495	NaN	-9.719	165853.133	0.000	0.000
28.952	3.586	111.133	37.711	286.544	2.020	534.133	-145.379	6.400	0.495	NaN	-9.727	165853.249	0.000	0.000
28.972	3.590	111.210	37.667	286.142	2.020	534.124	-145.292	6.406	0.496	NaN	-9.718	165853.377	0.000	0.000
29.011	3.594	111.235	37.616	285.841	2.020	534.172	-145.315	6.413	0.496	NaN	-9.713	165853.487	0.000	0.000
29.025	3.597	111.121	37.773	287.023	2.020	534.089	-145.348	6.418	0.497	NaN	-9.719	165853.600	0.000	0.000
29.064	3.595	111.202	37.751	286.869	2.021	534.298	-145.468	6.420	0.496	NaN	-9.708	165853.713	0.000	0.000
29.039	3.598	111.283	37.695	286.431	2.020	534.177	-145.271	6.420	0.497	NaN	-9.707	165853.824	0.000	0.000
29.083	3.598	111.370	37.857	287.570	2.021	534.365	-145.364	6.423	0.497	NaN	-9.709	165853.936	0.000	0.000
29.106	3.599	111.408	37.834	287.467	2.021	534.422	-145.381	6.427	0.497	NaN	-9.704	165854.058	0.000	0.000
29.115	3.606	111.460	37.774	286.894	2.020	534.298	-145.211	6.434	0.498	NaN	-9.697	165854.168	0.000	0.000
29.114	3.610	111.503	37.834	287.528	2.019	534.213	-145.085	6.437	0.498	NaN	-9.695	165854.283	0.000	0.000
29.132	3.609	111.547	37.936	288.200	2.020	534.313	-145.138	6.438	0.498	NaN	-9.688	165854.403	0.000	0.000
29.148	3.614	111.477	37.939	288.158	2.019	534.200	-145.099	6.445	0.499	NaN	-9.687	165854.524	0.000	0.000
29.105	3.615	111.473	37.829	287.371	2.018	534.043	-144.952	6.441	0.498	NaN	-9.694	165854.637	0.000	0.000
29.161	3.616	111.516	37.938	288.212	2.019	534.218	-145.077	6.448	0.499	NaN	-9.690	165854.746	0.000	0.000
29.181	3.616	111.595	37.994	288.693	2.020	534.322	-145.098	6.449	0.499	NaN	-9.691	165854.857	0.000	0.000
29.195	3.616	111.649	37.919	288.220	2.020	534.372	-145.092	6.451	0.499	NaN	-9.689	165854.965	0.000	0.000
29.162	3.617	111.696	37.862	287.737	2.019	534.274	-144.952	6.448	0.499	NaN	-9.697	165855.075	0.000	0.000
29.157	3.615	111.746	37.937	288.315	2.020	534.336	-144.961	6.445	0.498	NaN	-9.689	165855.190	0.000	0.000
29.227	3.617	111.581	38.151	289.526	2.021	534.436	-145.222	6.455	0.499	NaN	-9.692	165855.302	0.000	0.000
29.189	3.617	111.653	37.880	282.404	2.020	534.340	-145.058	6.451	0.499	NaN	-9.721	165855.426	0.000	0.010
29.134	3.614	111.715	37.777	284.892	2.019	534.260	-144.919	6.443	0.498	NaN	-9.716	165855.545	0.000	0.010
29.132	3.615	111.783	38.119	288.834	2.019	534.263	-144.854	6.443	0.498	NaN	-9.686	165855.666	0.000	0.010
29.205	3.620	111.833	38.059	288.977	2.020	534.403	-144.938	6.454	0.499	NaN	-9.682	165855.797	0.000	0.010
29.192	3.622	111.870	37.906	288.095	2.019	534.334	-144.835	6.454	0.499	NaN	-9.682	165855.918	0.000	0.010
29.198	3.620	111.724	38.088	289.376	2.019	534.316	-144.963	6.455	0.499	NaN	-9.678	165856.031	0.000	0.010
29.216	3.620	111.755	38.096	289.450	2.020	534.390	-145.004	6.456	0.499	NaN	-9.672	165856.164	0.000	0.010
29.229	3.622	111.629	38.123	289.592	2.020	534.323	-145.065	6.460	0.500	NaN	-9.671	165856.287	0.000	0.010
29.190	3.618	111.710	38.036	288.978	2.020	534.342	-145.003	6.452	0.499	NaN	-9.678	165856.403	0.000	0.010
29.223	3.622	111.794	38.032	289.112	2.020	534.390	-144.964	6.458	0.499	NaN	-9.676	165856.527	0.000	0.010
29.297	3.622	111.859	38.239	290.552	2.021	534.643	-145.142	6.466	0.500	NaN	-9.659	165856.649	0.000	0.010
29.274	3.625	111.916	38.107	289.467	2.020	534.540	-144.987	6.465	0.500	NaN	-9.661	165856.763	0.000	0.010
29.216	3.627	111.952	37.963	285.968	2.019	534.319	-144.738	6.461	0.500	NaN	-9.694	165856.885	0.000	0.010
29.246	3.626	111.981	38.066	285.746	2.019	534.434	-144.821	6.464	0.500	NaN	-9.273	165856.998	0.000	0.020
29.271	3.627	112.008	38.054	288.070	2.020	534.511	-144.866	6.467	0.500	NaN	-8.049	165857.114	0.000	0.020
29.289	3.628	111.977	38.123	289.537	2.020	534.540	-144.926	6.470	0.500	NaN	-7.725	165857.228	0.000	0.020
29.251	3.629	111.899	38.085	289.352	2.019	534.340	-144.811	6.468	0.500	NaN	-7.613	165857.339	0.000	0.020
29.225	3.625	111.931	37.974	288.633	2.019	534.373	-144.810	6.461	0.500	NaN	-7.487	165857.455	0.000	0.020
29.316	3.626	111.831	38.082	289.444	2.021	534.584	-145.113	6.472	0.500	NaN	-7.457	165857.571	0.000	0.020
29.282	3.630	111.874	38.179	289.950	2.020	534.414	-144.908	6.471	0.500	NaN	-7.428	165857.696	0.000	0.020
29.193	3.627	111.775	38.134	289.674	2.018	534.155	-144.758	6.460	0.500	NaN	-7.409	165857.820	0.000	0.020
29.225	3.626	111.884	37.977	288.553	2.019	534.318	-144.805	6.463	0.500	NaN	-7.374	165857.936	0.000	0.020
29.269	3.630	111.829	38.084	289.406	2.019	534.344	-144.886	6.471	0.500	NaN	-7.364	165858.057	0.000	0.020
29.243	3.630	111.945	37.988	288.718	2.019	534.326	-144.752	6.467	0.500	NaN	-7.364	165858.176	0.000	0.020
29.252	3.632	111.891	37.929	288.268	2.019	534.275	-144.757	6.470	0.500	NaN	-7.389	165858.292	0.000	0.020
29.263	3.625	112.034	38.171	286.366	2.020	534.538	-144.867	6.465	0.500	NaN	-7.321	165858.414	0.000	0.030
29.276	3.628	111.956	38.135	288.579	2.020	534.488	-144.897	6.468	0.500	NaN	-6.146	165858.542	0.000	0.030
29.257	3.628	112.073	37.979	287.510	2.019	534.474	-144.766	6.466	0.500	NaN	-5.861	165858.660	0.000	0.030
29.254	3.625	111.963	37.986	288.693	2.020	534.495	-144.896	6.463	0.500	NaN	-5.844	165858.771	0.000	0.030
29.285	3.625	112.113	38.115	289.579	2.021	534.659	-144.904	6.466	0.500	NaN	-5.790	165858.895	0.000	0.030
29.274	3.626	112.026	38.050	289.111	2.020	534.544	-144.881	6.467	0.500	NaN	-5.824	165859.015	0.000	0.030
29.277	3.625	112.098	38.076	289.291	2.020	534.624	-144.886	6.465	0.500	NaN	-5.835	165859.132	0.000	0.030
29.248	3.622	111.949	38.059	289.177	2.020	534.545	-144.959	6.460	0.499	NaN	-5.779	165859.256	0.000	0.030
29.269	3.621	112.077	37.920	288.210	2.021	534.685	-144.965	6.461	0.499	NaN	-5.865	165859.371	0.000	0.030
29.270	3.622	112.193	38.060	289.310	2.021	534.717	-144.880	6.461	0.499	NaN	-5.778	165859.492	0.000	0.030
29.264	3.626	112.286	38.151	289.781	2.020	534.646	-144.719	6.464	0.500	NaN	-5.726	165859.612	0.000	0.030
29.227	3.627	112.364	38.006	288.817	2.019	534.538	-144.537	6.460	0.499	NaN	-5.880	165859.726	0.000	0.030
29.330	3.627	112.420	38.005	287.092	2.021	534.881	-144.811	6.471	0.500	NaN	-5.729	165859.850	0.000	0.030
29.303	3.630	112.456	38.063	285.460	2.020	534.739	-144.638	6.471	0.500	NaN	-5.619	165859.968	0.000	0.040
29.268	3.631	112.524	37.918	286.447	2.019	534.633	-144.468	6.468	0.500	NaN	-5.095	165860.080	0.000	0.040
29.307	3.633	112.534	38.011	288.258	2.020	534.725	-144.547	6.473	0.500	NaN	-5.016	165860.189	0.000	0.040
29.212	3.627	112.575	38.020	288.822	2.019	534.577	-144.364	6.458	0.499	NaN	-5.024	165860.301	0.000	0.040
29.244	3.627	112.581	37.992	288.765	2.019	534.699	-144.475	6.461	0.499	NaN	-4.987	165860.419	0.000	0.040
29.238	3.627	112.409	38.141	289.661	2.019	534.601	-144.553	6.461	0.499	NaN	-5.070	165860.532	0.000	0.040
29.236	3.623	112.480	37.993	288.676	2.020	534.711	-144.588	6.457	0.499	NaN	-5.050	165860.654	0.000	0.040
29.232	3.626	112.329	38.005	288.885	2.019	534.573	-144.605	6.460	0.499	NaN	-5.037	165860.768	0.000	0.040
29.238	3.626	112.418	38.097	289.465	2.019	534.631	-144.572	6.460	0.499	NaN	-5.116	165860.881	0.000	0.040
29.235	3.623	112.493	38.061	289.183	2.020	534.716	-144.579	6.457	0.499	NaN	-5.076	165861.008	0.000	0.040
29.205	3.622	112.568	38.024	288.941	2.019	534.699	-144.488	6.452	0.499	NaN	-5.062	165861.122	0.000	0.040
29.229	3.619	112.618	37.976	288.472	2.020	534.875	-144.607	6.451	0.498	NaN	-4.987	165861.241	0.000	0.040
29.241	3.620	112.647	38.092	286.753	2.020	534.884	-144.587	6.454	0.499	NaN	-5.000	165861.359	0.000	0.040
29.241	3.623	112.678	38.022	286.434	2.020	534.828	-144.502	6.456	0.499	NaN	-4.810	165861.474	0.000	0.050
29.238	3.625	112.718	38.038	286.857	2.020	534.788	-144.424	6.458	0.499	NaN	-4.493	165861.593	0.000	0.050
29.261	3.625	112.613	38.069	288.623	2.020	534.806	-144.545	6.461	0.499	NaN	-4.520	165861.705	0.000	0.050
29.267	3.628	112.571	38.009	288.790	2.020	534.732	-144.517	6.465	0.500	NaN	-4.354	165861.820	0.000	0.050
29.236	3.627	112.625	38.007	288.775	2.019	534.690	-144.422	6.460	0.499	NaN	-4.449	165861.942	0.000	0.050
29.224	3.625	112.674	38.023	288.807	2.019	534.717	-144.399	6.457	0.499	NaN	-4.582	165862.069	0.000	0.050
29.279	3.626	112.688	37.973	288.455	2.020	534.868	-144.530	6.463	0.499	NaN	-4.463	165862.181	0.000	0.050
29.319	3.630	112.714	38.041	289.097	2.020	534.916	-144.550	6.471	0.500	NaN	-4.390	165862.293	0.000	0.050
29.275	3.630	112.703	38.034	289.032	2.019	534.780	-144.430	6.466	0.500	NaN	-4.428	165862.413	0.000	0.050
29.217	3.628	112.574	37.942	288.403	2.019	534.574	-144.362	6.459	0.499	NaN	-4.360	165862.524	0.000	0.050
29.187	3.626	112.639	38.025	288.958	2.018	534.563	-144.287	6.454	0.499	NaN	-4.410	165862.644	0.000	0.050
29.264	3.625	112.706	38.092	289.415	2.020	534.856	-144.501	6.461	0.499	NaN	-4.333	165862.760	0.000	0.050
29.320	3.628	112.760	38.132	287.366	2.021	534.982	-144.568	6.469	0.500	NaN	-4.529	165862.880	0.000	0.050
29.249	3.630	112.798	37.993	286.386	2.019	534.720	-144.278	6.464	0.499	NaN	-4.105	165863.005	0.000	0.060
29.227	3.627	112.842	37.886	286.135	2.019	534.744	-144.258	6.458	0.499	NaN	-3.877	165863.118	0.000	0.060
29.254	3.624	112.659	38.127	289.719	2.020	534.846	-144.538	6.458	0.499	NaN	-3.960	165863.233	0.000	0.060
29.251	3.623	112.772	38.123	289.602	2.020	534.915	-144.492	6.457	0.499	NaN	-3.939	165863.355	0.000	0.060
29.291	3.626	112.828	37.889	287.983	2.021	534.986	-144.503	6.463	0.499	NaN	-3.912	165863.486	0.000	0.060
29.338	3.629	112.873	38.151	289.948	2.021	535.085	-144.554	6.471	0.500	NaN	-3.884	165863.610	0.000	0.060
29.327	3.633	112.910	38.126	289.682	2.020	534.960	-144.397	6.473	0.500	NaN	-3.824	165863.727	0.000	0.060
29.292	3.634	112.954	37.981	288.474	2.019	534.838	-144.235	6.471	0.500	NaN	-3.820	165863.843	0.000	0.060
29.299	3.631	112.979	38.155	289.903	2.020	534.942	-144.310	6.468	0.500	NaN	-3.825	165863.966	0.000	0.060
29.293	3.632	112.999	38.134	289.657	2.019	534.905	-144.254	6.469	0.500	NaN	-3.738	165864.079	0.000	0.060
29.273	3.633	113.021	38.044	289.039	2.019	534.844	-144.175	6.467	0.500	NaN	-3.927	165864.200	0.000	0.060
29.236	3.628	113.032	38.131	289.090	2.019	534.861	-144.179	6.458	0.499	NaN	-3.858	165864.312	0.000	0.060
29.239	3.628	112.965	38.230	287.588	2.019	534.830	-144.217	6.459	0.499	NaN	-3.818	165864.425	0.000	0.070
29.320	3.629	112.895	38.274	288.368	2.021	535.028	-144.477	6.469	0.500	NaN	-3.504	165864.538	0.000	0.070
29.324	3.632	112.953	38.194	288.995	2.020	535.005	-144.398	6.471	0.500	NaN	-3.309	165864.660	0.000	0.070
29.323	3.632	112.993	38.179	290.102	2.020	534.996	-144.349	6.472	0.500	NaN	-3.510	165864.777	0.000	0.070
29.319	3.632	112.968	38.249	290.501	2.020	534.976	-144.354	6.472	0.500	NaN	-3.420	165864.893	0.000	0.070
29.373	3.632	112.845	38.252	290.618	2.021	535.093	-144.589	6.478	0.500	NaN	-3.352	165865.016	0.000	0.070
29.382	3.636	112.919	38.363	291.496	2.021	535.059	-144.483	6.482	0.501	NaN	-3.218	165865.130	0.000	0.070
29.393	3.641	112.969	38.162	289.923	2.020	534.983	-144.360	6.488	0.501	NaN	-3.382	165865.251	0.000	0.070
29.399	3.640	113.029	38.389	291.616	2.020	535.057	-144.372	6.487	0.501	NaN	-3.168	165865.360	0.000	0.070
29.413	3.641	112.869	38.350	291.323	2.021	535.008	-144.484	6.490	0.501	NaN	-3.249	165865.475	0.000	0.070
29.401	3.642	112.945	38.287	290.950	2.020	534.973	-144.375	6.489	0.501	NaN	-3.328	165865.592	0.000	0.070
29.430	3.641	113.009	38.304	290.903	2.021	535.127	-144.458	6.491	0.501	NaN	-3.295	165865.708	0.000	0.070
29.449	3.646	113.061	38.418	290.369	2.020	535.077	-144.359	6.498	0.502	NaN	-3.333	165865.823	0.000	0.070
29.490	3.651	112.906	38.352	288.078	2.020	535.004	-144.443	6.508	0.503	NaN	-3.208	165865.945	0.000	0.080
29.450	3.650	112.957	38.447	290.068	2.020	534.939	-144.329	6.502	0.502	NaN	-2.924	165866.067	0.000	0.080
29.445	3.648	113.033	38.509	291.718	2.020	535.012	-144.324	6.499	0.502	NaN	-2.891	165866.181	0.000	0.080
29.512	3.651	113.075	38.441	292.111	2.021	535.162	-144.426	6.509	0.503	NaN	-2.685	165866.298	0.000	0.080
29.531	3.655	113.116	38.402	291.836	2.021	535.128	-144.352	6.514	0.503	NaN	-2.604	165866.409	0.000	0.080
29.451	3.656	113.157	38.473	292.219	2.019	534.872	-144.065	6.507	0.503	NaN	-2.787	165866.525	0.000	0.080
29.450	3.654	113.177	38.356	291.341	2.019	534.944	-144.114	6.504	0.502	NaN	-2.834	165866.653	0.000	0.080
29.517	3.654	113.198	38.561	292.999	2.021	535.168	-144.309	6.511	0.503	NaN	-2.974	165866.774	0.000	0.080
29.531	3.652	113.221	38.540	292.836	2.021	535.264	-144.378	6.511	0.503	NaN	-2.801	165866.887	0.000	0.080
29.513	3.655	113.240	38.443	291.955	2.020	535.129	-144.230	6.512	0.503	NaN	-2.655	165867.002	0.000	0.080
29.539	3.657	113.245	38.491	292.475	2.020	535.161	-144.255	6.516	0.503	NaN	-2.751	165867.129	0.000	0.080
29.508	3.658	113.238	38.497	292.457	2.020	535.051	-144.155	6.514	0.503	NaN	-2.742	165867.261	0.000	0.080
29.509	3.656	113.249	38.585	290.299	2.020	535.108	-144.200	6.512	0.503	NaN	-2.645	165867.378	0.000	0.080
29.500	3.659	113.278	38.576	289.963	2.019	535.018	-144.084	6.514	0.503	NaN	-2.623	165867.498	0.000	0.090
29.573	3.660	113.295	38.506	291.637	2.021	535.217	-144.260	6.523	0.504	NaN	-2.404	165867.609	0.000	0.090
29.527	3.664	113.285	38.558	292.912	2.019	534.978	-144.039	6.521	0.504	NaN	-2.377	165867.725	0.000	0.090
