Mach,Rayleigh_Pitot_P02_over_P1,Isentropic_P01_over_P1,P02_over_P01
1,1.892929159,1.892929159,1
1.01,1.915214415,1.915216849,0.999998729
1.02,1.937896605,1.937915922,0.999990032
1.03,1.960968287,1.96103299,0.999967006
1.04,1.984422527,1.984574779,0.999923282
1.05,2.008252854,2.008548131,0.99985299
1.06,2.032453225,2.032960007,0.999750717
1.07,2.057017987,2.057817489,0.999611481
1.08,2.081941853,2.083127778,0.9994307
1.09,2.107219864,2.108898201,0.999204164
1.1,2.132847375,2.135136208,0.998928015
1.11,2.15882002,2.161849376,0.99859872
1.12,2.185133702,2.189045409,0.998213053
1.13,2.211784564,2.216732145,0.997768074
1.14,2.238768978,2.244917549,0.997261115
1.15,2.266083527,2.273609723,0.996689759
1.16,2.293724987,2.302816903,0.996051828
1.17,2.32169032,2.332547463,0.995345371
1.18,2.349976653,2.362809916,0.994568644
1.19,2.378581275,2.393612914,0.993720104
1.2,2.407501621,2.424965256,0.992798398
1.21,2.436735263,2.456875882,0.991802346
1.22,2.466279903,2.489353882,0.990730937
1.23,2.496133364,2.522408492,0.989583318
1.24,2.52629358,2.5560491,0.988358784
1.25,2.556758592,2.590285248,0.98705677
1.26,2.58752654,2.625126632,0.985676846
1.27,2.618595657,2.660583103,0.984218705
1.28,2.649964264,2.696664674,0.982682159
1.29,2.681630763,2.733381518,0.98106713
1.3,2.713593634,2.770743972,0.979373649
1.31,2.74585143,2.808762536,0.977601842
1.32,2.778402772,2.847447881,0.975751932
1.33,2.811246346,2.886810845,0.973824229
1.34,2.844380898,2.926862442,0.971819125
1.35,2.877805233,2.967613855,0.969737093
1.36,2.91151821,3.009076448,0.967578677
1.37,2.945518738,3.051261763,0.965344492
1.38,2.979805775,3.094181523,0.963035217
1.39,3.014378326,3.137847634,0.960651592
1.4,3.049235439,3.18227219,0.958194415
1.41,3.084376201,3.227467471,0.955664536
1.42,3.119799742,3.27344595,0.953062855
1.43,3.155505225,3.320220294,0.950390319
1.44,3.19149185,3.367803363,0.947647919
1.45,3.22775885,3.416208219,0.944836685
1.46,3.264305491,3.465448123,0.941957685
1.47,3.301131066,3.515536539,0.93901202
1.48,3.338234898,3.56648714,0.936000823
1.49,3.375616339,3.618313806,0.932925257
1.5,3.413274763,3.671030627,0.929786512
1.51,3.451209573,3.724651911,0.926585801
1.52,3.489420191,3.77919218,0.923324357
1.53,3.527906064,3.834666177,0.920003437
1.54,3.56666666,3.891088867,0.916624313
1.55,3.605701466,3.94847544,0.913188272
1.56,3.64500999,4.006841316,0.909696617
1.57,3.684591757,4.066202142,0.906150661
1.58,3.724446311,4.126573803,0.902551727
