"Normals:0","Normals:1","Normals:2","MMID","density","doublelevel","dx","level","machnumber","machnumberavg","pressure","pressureavg","qcriterion","reynoldsstressxx","reynoldsstressxy","reynoldsstressxz","reynoldsstressyy","reynoldsstressyz","reynoldsstresszz","temperature","tke","velocitymag","velocitymagavg","velocityx","velocityxavg","velocityy","velocityyavg","velocityz","velocityzavg","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,2.0315,0.018671,-0.0254
-0.977099,0,0,-1,0.194994,0,0.00025,14,0.790298,0.876033,19434.3,19669.4,3.07513e+09,4163.84,-579.464,16.5047,758.776,14.5033,2062.88,347.205,3492.75,295.209,324.441,294.193,319.939,5.5513,-2.89837,23.827,0.105449,1,0.000158725,2.0315,0.0188297,-0.0254
-0.977099,0,0,-1,0.194994,0,0.00025,14,0.790298,0.876033,19434.3,19669.4,3.07513e+09,4163.84,-579.464,16.5047,758.776,14.5033,2062.88,347.205,3492.75,295.209,324.441,294.193,319.939,5.5513,-2.89837,23.827,0.105449,1,0.000317452,2.0315,0.0189885,-0.0254
-0.977099,0,0,-1,0.194911,0,0.00025,14,1.1436,1.1754,19232.7,19554.9,8.39678e+09,5572.37,-830.722,-50.0545,812.621,12.0072,2445.27,343.75,4415.13,425.049,433.506,420.85,429.687,16.4276,-2.5795,-57.2885,-0.739491,1,0.000476178,2.0315,0.0191472,-0.0254
-0.977099,0,0,-1,0.200497,0,0.00025,14,1.05891,1.19864,19990.1,19590.3,2.27926e+10,3764.35,-582.322,2.00328,1054.87,15.0101,1719.38,347.334,3269.3,395.621,441.341,392.626,438.157,14.3015,-2.29124,-46.4292,-0.792176,1,0.000634903,2.0315,0.0193059,-0.0254
-0.977099,0,0,-1,0.200497,0,0.00025,14,1.05891,1.19864,19990.1,19590.3,2.27926e+10,3764.35,-582.322,2.00328,1054.87,15.0101,1719.38,347.334,3269.3,395.621,441.341,392.626,438.157,14.3015,-2.29124,-46.4292,-0.792176,1,0.00079363,2.0315,0.0194646,-0.0254
-0.977099,0,0,-1,0.198774,0,0.00025,14,1.05278,1.28052,19749.8,19534.1,1.04114e+10,3865.76,-684.95,11.0223,875.508,4.17979,1678.07,346.132,3209.67,392.648,470.259,391.417,467.515,-4.47696,-2.15862,30.7443,-0.390937,1,0.000952356,2.0315,0.0196234,-0.0254
-0.977099,0,0,-1,0.200978,0,0.00025,14,1.09768,1.32065,20020.6,19600.3,2.86862e+09,3468.83,-589.372,-6.62736,840.107,9.35586,1537.33,347.03,2923.14,409.924,483.987,407.88,481.501,-20.2665,-2.90237,35.506,0.0625189,1,0.00111108,2.0315,0.0197821,-0.0254
-0.977099,0,0,-1,0.200978,0,0.00025,14,1.09768,1.32065,20020.6,19600.3,2.86862e+09,3468.83,-589.372,-6.62736,840.107,9.35586,1537.33,347.03,2923.14,409.924,483.987,407.88,481.501,-20.2665,-2.90237,35.506,0.0625189,1,0.00126981,2.0315,0.0199408,-0.0254
-0.977099,0,0,-1,0.200613,0,0.00025,14,1.13951,1.36394,19978.6,19540.2,-5.09378e+09,3383.99,-590.763,0.515341,803.68,4.48975,1512.2,346.932,2849.94,425.487,498.575,424.754,496.222,5.03513,-2.63308,24.4459,-0.174846,1,0.00142853,2.0315,0.0200995,-0.0254
-0.977099,0,0,-1,0.200624,0,0.00025,14,1.08491,1.39695,19909.3,19605.1,-8.14776e+08,3247.6,-570.469,15.1764,785.397,17.3551,1416.69,345.709,2724.85,404.385,509.811,404.333,507.617,4.10587,-3.14523,5.05074,-0.0276682,1,0.00158726,2.0315,0.0202583,-0.0254
-0.977099,0,0,-1,0.200624,0,0.00025,14,1.08491,1.39695,19909.3,19605.1,-8.14776e+08,3247.6,-570.469,15.1764,785.397,17.3551,1416.69,345.709,2724.85,404.385,509.811,404.333,507.617,4.10587,-3.14523,5.05074,-0.0276682,1,0.00174599,2.0315,0.020417,-0.0254
-0.977099,0,0,-1,0.201102,0,0.00025,14,1.09111,1.42496,19975.4,19549.2,-2.17921e+09,3040.08,-557.748,42.5281,763.664,3.83688,1385.55,346.034,2594.65,406.887,518.947,406.554,516.848,1.08704,-2.71872,16.4123,-0.100351,1,0.00190471,2.0315,0.0205757,-0.0254
-0.977099,0,0,-1,0.201102,0,0.00025,14,1.09111,1.42496,19975.4,19549.2,-2.17921e+09,3040.08,-557.748,42.5281,763.664,3.83688,1385.55,346.034,2594.65,406.887,518.947,406.554,516.848,1.08704,-2.71872,16.4123,-0.100351,1,0.00206344,2.0315,0.0207344,-0.0254
-0.977099,0,0,-1,0.202429,0,0.00025,14,1.08724,1.45217,20053,19609.6,-4.38265e+08,2922.9,-571.968,62.005,732.437,16.562,1365.14,345.1,2510.24,404.894,528.034,403.582,526.017,-11.2675,-3.18774,30.5517,-0.131242,1,0.00222216,2.0315,0.0208932,-0.0254
-0.977099,0,0,-1,0.200644,0,0.00025,14,1.23221,1.47343,20077.1,19568.7,4.84158e+09,2745.17,-544.824,36.366,673.174,7.98874,1330.95,348.587,2374.64,461.195,534.889,458.124,532.984,11.2166,-2.96039,51.9435,-0.17228,1,0.00238089,2.0315,0.0210519,-0.0254
